SN,Region,Site ID,Site Class,Snag Category,Sub Category,Remarks,Snag Opened By,Snag Severity,Visit Date,Closing Date,Status,SnagFlag,Open Month,Closed Month
15713,AUH,AAC4348,Class C,CIVIL,BOUNDARY WALL PAINT WORK,fance rusty and paint peeling off,Asmatullah Tahir Muhammad,MINOR,20/02/2025,18/10/2025,Closed,CLOSED_UNIQUE,February-25,October-25
105808,AUH,AAC4348,Class C,CIVIL,TOWER FOUNDATION PAINT IS EXFOLIATED,Monopole Structure foundation has epoxy paint peeling off ,Kanwaljit Singh,MINOR,11/05/2026,,Open,KEEP_OPEN,May-26,
1426,AUH,AAC4348,Class C,DC SYSTEM,RECTIFIER CIRCUIT BREAKER FAULTY,Rectifier N line Damage from both end in rectifier,Asmatullah Tahir Muhammad,MINOR,08/08/2024,18/10/2025,Closed,CLOSED_UNIQUE,August-24,October-25
15712,AUH,AAC4348,Class C,SHELTER,SHELTER - OTHERS,Shelter Roxect Minor open /fixed,Asmatullah Tahir Muhammad,MINOR,20/02/2025,20/02/2025,Closed,CLOSED_UNIQUE,February-25,February-25
68544,AUH,AAC4348,Class C,SHELTER,SITE ID DAMAGED,Du Site id Faded (Replaced) Shelter Door,Kanwaljeet Singh,MINOR,18/10/2025,18/10/2025,Closed,CLOSED_UNIQUE,October-25,October-25
127293,AUH,AAG6032,Class C,BATTERY,TEMPERATURE SENSOR,Temperature Sensor Not check delta Rectifier display Up down  Button Not Working ,Asmatullah Tahir Muhammad,MAJOR,31/07/2026,,Open,KEEP_OPEN,July-26,
127288,AUH,AAG6032,Class C,CIVIL,CIVIL - OTHERS,Monopole Pltafrom door cover missing ,Asmatullah Tahir Muhammad,MINOR,31/07/2026,,Open,KEEP_OPEN,July-26,
127289,AUH,AAG6032,Class C,CIVIL,CIVIL - OTHERS,No grease and no caps on tower anchor bolt nuts,Asmatullah Tahir Muhammad,MINOR,31/07/2026,,Open,KEEP_OPEN,July-26,
44932,AUH,AAG6032,Class C,CIVIL,CIVIL - OTHERS,AWLMDB Paint Damage /fixed,Asmatullah Tahir Muhammad,MINOR,28/07/2025,28/07/2025,Closed,CLOSED_UNIQUE,July-25,July-25
44933,AUH,AAG6032,Class C,CIVIL,CIVIL - OTHERS,Monopole Pltafrom door cover missing,Asmatullah Tahir Muhammad,MINOR,28/07/2025,09/01/2026,Closed,CLOSED_UNIQUE,July-25,January-26
10826,AUH,AAG6032,Class C,SHELTER,SITE ID DAMAGED,Site id Damage /replace,Asmatullah Tahir Muhammad,MINOR,17/01/2025,17/01/2025,Closed,CLOSED_UNIQUE,January-25,January-25
10827,AUH,AAG6032,Class C,TI,TI - OTHERS,Weatherproof are checked,Asmatullah Tahir Muhammad,MINOR,17/01/2025,17/01/2025,Closed,CLOSED_UNIQUE,January-25,January-25
44930,AUH,AAG6032,Class C,TI,TI - OTHERS,Weatherproof are checked,Asmatullah Tahir Muhammad,MINOR,28/07/2025,28/07/2025,Closed,CLOSED_UNIQUE,July-25,July-25
20369,AUH,AAG6066,Class C,AWL,AWL - OTHERS,AWL Breaker founded trip due to short circuit and AWL alarm cable damage,Mohsinuddin Mohammad,MINOR,24/03/2025,10/04/2025,Closed,CLOSED_UNIQUE,March-25,April-25
132640,AUH,AAG6066,Class C,CIVIL,CIVIL - OTHERS,Monopole anchor bolt cap missing.,Kanwaljit Singh,MINOR,18/08/2026,,Open,KEEP_OPEN,August-26,
132639,AUH,AAG6066,Class C,MDB,LABELING MISSING,MDB Hazard Sticker faded (Replaced) ,Kanwaljit Singh,MINOR,18/08/2026,18/08/2026,Closed,CLOSED_UNIQUE,August-26,August-26
20366,AUH,AAG6066,Class C,MDB,MDB - OTHERS,MDB Door hinge damaged (SCREW MISSING),Mohsinuddin Mohammad,MINOR,24/03/2025,24/03/2025,Closed,CLOSED_UNIQUE,March-25,March-25
20368,AUH,AAG6066,Class C,POWER METER,POWER METER CABLES ARE DAMANGED,ADDC meter power cable damage,Mohsinuddin Mohammad,MINOR,24/03/2025,10/04/2025,Closed,CLOSED_UNIQUE,March-25,April-25
60092,AUH,AAG6066,Class C,SHELTER,SITE ID DAMAGED,Site id Tag  (Required )not installed  due to out of stock in wh,Kanwaljeet Singh,MINOR,19/09/2025,14/01/2026,Closed,CLOSED_UNIQUE,September-25,January-26
132638,AUH,AAG6066,Class C,TI,TI - OTHERS,Gsm Antenna weatherproffing  checked.,Kanwaljit Singh,MINOR,18/08/2026,18/08/2026,Closed,CLOSED_UNIQUE,August-26,August-26
9957,AUH,AAG6068,Class C,CIVIL,BOUNDARY WALL PAINT WORK,Boundery fence structure foundation damage,Asmatullah Tahir Muhammad,MINOR,11/01/2025,30/01/2026,Closed,CLOSED_UNIQUE,January-25,January-26
9954,AUH,AAG6068,Class C,SHELTER,SITE ID DAMAGED,DU sticker Replacce,Asmatullah Tahir Muhammad,MINOR,11/01/2025,11/01/2025,Closed,CLOSED_UNIQUE,January-25,January-25
9953,AUH,AAG6068,Class C,TI,TI - OTHERS,Weatherproof are checked,Asmatullah Tahir Muhammad,MINOR,11/01/2025,11/01/2025,Closed,CLOSED_UNIQUE,January-25,January-25
101666,AUH,AAG6104,Class C,BATTERY,TEMPERATURE SENSOR,Rectifier battery temperature  sensor cable reshuffle & battery temp alarm configured,Kanwaljit Singh,MAJOR,22/04/2026,22/04/2026,Closed,CLOSED_UNIQUE,April-26,April-26
60676,AUH,AAG6104,Class C,CIVIL,CIVIL - OTHERS,Tower platfrom cover/door is missing,Asmatullah Tahir Muhammad,MINOR,22/09/2025,22/04/2026,Closed,CLOSED_UNIQUE,September-25,April-26
20806,AUH,AAG6104,Class C,CIVIL,GROUND LEVELING,Fence Ground lavel not proper,Ghaias Uddin Babar,MINOR,27/03/2025,22/09/2025,Closed,CLOSED_UNIQUE,March-25,September-25
60673,AUH,AAG6104,Class C,SHELTER,SITE ID DAMAGED,Site id Damage /replace,Asmatullah Tahir Muhammad,MINOR,22/09/2025,22/09/2025,Closed,CLOSED_UNIQUE,September-25,September-25
78332,AUH,AAG6105,Class C,BATTERY,TEMPERATURE SENSOR,Tempearature sesnor Not working vertiv Rectivier,Asmatullah Tahir Muhammad,MAJOR,24/11/2025,15/07/2026,Closed,CLOSED_UNIQUE,November-25,July-26
78331,AUH,AAG6105,Class C,TI,TI - OTHERS,Weatherproof Are checked,Asmatullah Tahir Muhammad,MINOR,24/11/2025,24/11/2025,Closed,CLOSED_UNIQUE,November-25,November-25
122518,AUH,AAG6105,Class C,TI,TI - OTHERS,Weatherproof are checked ,Asmatullah Tahir Muhammad,MINOR,15/07/2026,15/07/2026,Closed,CLOSED_UNIQUE,July-26,July-26
134535,AUH,AAN0003,Class C,EXTERNAL ALARMS,NOT WORKING,Alarm lock in 2G ,Asmatullah Tahir Muhammad,MINOR,25/08/2026,,Open,KEEP_OPEN,August-26,
62782,AUH,AAN0004,Class C,EXTERNAL ALARMS,NOT WORKING,Remote room ELTEC Rectfier alarm connected with NOKIA 2G Metro BTS.  Alarm not working found Alarm cable Looped.,Prabat Kumat,MINOR,27/09/2025,11/06/2026,Closed,CLOSED_UNIQUE,September-25,June-26
56521,AUH,AAN0004,Class C,SHELTER,EXTERNAL LIGHTING BULB FAULTY,Shelter External Light Faulty & cover Damage,Asmatullah Tahir Muhammad,MINOR,09/09/2025,27/09/2025,Closed,CLOSED_UNIQUE,September-25,September-25
78756,AUH,AAN0007,Class C,BATTERY,TEMPERATURE SENSOR,New Rectifier Instilled Temperature sesnor Cables are missing,Asmatullah Tahir Muhammad,MAJOR,04/12/2025,,Open,KEEP_OPEN,December-25,
39388,AUH,AAN0007,Class C,SHELTER,SITE ID DAMAGED,Du Sticker damaged(Replaced),Kanwaljit Singh,MINOR,08/07/2025,08/07/2025,Closed,CLOSED_UNIQUE,July-25,July-25
39389,AUH,AAN0007,Class C,TI,TI - OTHERS,Equipment miner dusty. clean it,Kanwaljit Singh,MINOR,08/07/2025,08/07/2025,Closed,CLOSED_UNIQUE,July-25,July-25
7113,AUH,AAN0009,Class C,AIR CONDITIONING,AIR CONDITIONING - OTHERS,Need to Install Thermostat & Alarm cables,Asmatullah Tahir Muhammad,MINOR,05/12/2024,31/10/2025,Closed,CLOSED_UNIQUE,December-24,October-25
71016,AUH,AAN0009,Class C,EXTERNAL ALARMS,NOT WORKING,Alarm  Shift To Ericsson From 2 g Rectifier & ericssion End Alarms Cables Not Label Yet,Asmatullah Tahir Muhammad,MINOR,30/10/2025,,Open,KEEP_OPEN,October-25,
72227,AUH,AAN0010,Class C,EXTERNAL ALARMS,NOT WORKING,2G is locked . Butt all alarm are in 2G,Kanwaljeet Singh,MINOR,05/11/2025,,Open,KEEP_OPEN,November-25,
21293,AUH,AAN0011,Class C,SHELTER,SITE ID DAMAGED,DU site ID sticker damaged,Mohsinuddin Mohammad,MINOR,29/03/2025,29/03/2025,Closed,CLOSED_UNIQUE,March-25,March-25
40381,AUH,AAN0014,Class C,OTHERS,OTHERS,All Equipments was Minor Dusty,Kanwaljit Singh,MINOR,10/07/2025,10/07/2025,Closed,CLOSED_UNIQUE,July-25,July-25
42467,AUH,AAN0024,Class C,BATTERY,TEMPERATURE SENSOR,Battery Temperature sensor Faulty,Asmatullah Tahir Muhammad,MINOR,18/07/2025,01/07/2026,Closed,CLOSED_UNIQUE,July-25,July-26
42466,AUH,AAN0024,Class C,TI,TI - OTHERS,RTN Fan No 1 Cleaned,Asmatullah Tahir Muhammad,MINOR,18/07/2025,18/07/2025,Closed,CLOSED_UNIQUE,July-25,July-25
93037,AUH,AAN0027,Class C,BATTERY,TEMPERATURE SENSOR,Display Faulty,Asmatullah Tahir Muhammad,MAJOR,12/02/2026,,Open,KEEP_OPEN,February-26,
93035,AUH,AAN0027,Class C,TI,TI - OTHERS,RTN Fan No 1 Cleaned,Asmatullah Tahir Muhammad,MINOR,12/02/2026,12/02/2026,Closed,CLOSED_UNIQUE,February-26,February-26
117542,AUH,AAN0028,Class C,POWER METER,POWER METER NOT WORKING,Power Meter Not working ,Asmatullah Tahir Muhammad,MINOR,29/06/2026,,Open,KEEP_OPEN,June-26,
21038,AUH,AAN0029,Class C,SHELTER,SITE ID DAMAGED,DU site ID sticker missing,Mohsinuddin Mohammad,MINOR,28/03/2025,28/03/2025,Closed,CLOSED_UNIQUE,March-25,March-25
90353,AUH,AAN0031,Class C,BATTERY,TEMPERATURE SENSOR,Rectifier display faulty Alarms not reporting & Temperature Sesnor Not Checked,Asmatullah Tahir Muhammad,MAJOR,29/01/2026,06/07/2026,Closed,CLOSED_UNIQUE,January-26,July-26
24683,AUH,AAN0031,Class C,CIVIL,CABLE TRAY DAMAGED,Cable Tary not proper fix,Ghaias Uddin Babar,MINOR,25/04/2025,27/09/2025,Closed,CLOSED_UNIQUE,April-25,September-25
119762,AUH,AAN0031,Class C,TI,TI - OTHERS,Equipment miner dusty. clean it,Kanwaljit Singh,MINOR,06/07/2026,06/07/2026,Closed,CLOSED_UNIQUE,July-26,July-26
14825,AUH,AAN0033,Class C,CIVIL,RRU NEEDS REPAIRING,"2nd floor Telecom room & main roo,m, RRU not Fixed Properly with Nuts Bolts Sector 3 (u900 & L1800)",Asmatullah Tahir Muhammad,MINOR,14/02/2025,22/10/2025,Closed,CLOSED_UNIQUE,February-25,October-25
